Merilec;Meril;Kandidat;word;subject;gender;stressed;vowelNoIpa;vowel;f0;f1;f2;f3;f4;f1Bark;f2Bark
B;G-Polanec;Nataša Pirc Musar;starejši;f1;f;TRUE;e;e;205.461072732309;527.40172609379;1847.19946031949;2480.107039196;3771.15956814648;5.15450207630087;12.4778337232717
B;G-Polanec;Nataša Pirc Musar;preskrbljeni;f1;f;TRUE;E;ɛ;182.52834874911;720.512651815915;2004.26166673364;2696.14433041696;3743.94801942228;6.67643649344404;13.0246691420608
B;G-Polanec;Nataša Pirc Musar;slišani;f1;f;TRUE;i;i;148.225214728618;306.889679139409;2203.70897421769;2576.68166946312;3873.58831917275;3.09951597223341;13.6596174695728
B;G-Polanec;Nataša Pirc Musar;slovenijo;f1;f;TRUE;e;e;274.851850651254;567.688153201431;2110.59762448721;2566.42843793815;3720.37706469935;5.49120137646486;13.3709372904133
B;G-Polanec;Nataša Pirc Musar;delimo;f1;f;TRUE;i;i;172.793848542907;381.857579715473;2038.31334040205;2609.04419651791;3744.58523132709;3.84157314810564;13.1375582936389
B;G-Polanec;Nataša Pirc Musar;preteklosti;f1;f;TRUE;E;ɛ;154.676759126929;633.392275886678;1873.95710524469;2571.65670214465;3864.83120360333;6.01788983310131;12.5741606915432
B;G-Polanec;Nataša Pirc Musar;ljudje;f1;f;TRUE;e;e;267.540430298284;558.071346376;2076.87831206917;2597.383645901;3757.63898917745;5.41180654089634;13.2631102307699
B;G-Polanec;Nataša Pirc Musar;imajo;f1;f;TRUE;a;a;213.07120545838;925.370512824516;1437.94323313367;2608.37389520517;213.07120545838;8.06826609392335;10.8154685482667
B;G-Polanec;Nataša Pirc Musar;prepirov;f1;f;TRUE;i;i;186.194125179278;369.906143871271;1906.15400055635;2291.54259387352;3631.09937766257;3.72647348210809;12.688301378466
B;G-Polanec;Nataša Pirc Musar;dovolj;f1;f;TRUE;O;ɔ;149.80493718998;695.054172485805;927.700885112782;2590.80800294477;3629.27245650053;6.48846408915186;8.08296294851615
